text,estate_worth,debts,funeral_expenses,bequests,label
"Estate: $437086.11, Debts: $37026.59, Funeral: $6308.53, Bequest: $134867.90.",437086.11,37026.59,6308.53,134867.9,1
"Estate: $955642.88, Debts: $108380.19, Funeral: $6234.89, Bequest: $159539.60.",955642.88,108380.19,6234.89,159539.6,1
"Estate: $758794.55, Debts: $174589.17, Funeral: $9531.27, Bequest: $50843.11.",758794.55,174589.17,9531.27,50843.11,0
"Estate: $638792.64, Debts: $146444.98, Funeral: $6247.73, Bequest: $125349.95.",638792.64,146444.98,6247.73,125349.95,1
"Estate: $240416.78, Debts: $161312.23, Funeral: $6359.75, Bequest: $114777.45.",240416.78,161312.23,6359.75,114777.45,1
"Estate: $240395.07, Debts: $131756.67, Funeral: $8796.99, Bequest: $166733.24.",240395.07,131756.67,8796.99,166733.24,1
"Estate: $152275.25, Debts: $138455.31, Funeral: $7248.70, Bequest: $181311.33.",152275.25,138455.31,7248.7,181311.33,1
"Estate: $879558.53, Debts: $169839.13, Funeral: $8883.55, Bequest: $3419.20.",879558.53,169839.13,8883.55,3419.2,0
"Estate: $641003.51, Debts: $49933.60, Funeral: $5326.83, Bequest: $135129.96.",641003.51,49933.6,5326.83,135129.96,1
"Estate: $737265.32, Debts: $97884.99, Funeral: $7437.86, Bequest: $11315.32.",737265.32,97884.99,7437.86,11315.32,0
"Estate: $118526.04, Debts: $44241.89, Funeral: $5168.07, Bequest: $110222.87.",118526.04,44241.89,5168.07,110222.87,1
"Estate: $972918.87, Debts: $197533.60, Funeral: $5313.27, Bequest: $58238.91.",972918.87,197533.6,5313.27,58238.91,0
"Estate: $849198.38, Debts: $188811.87, Funeral: $9532.19, Bequest: $62048.54.",849198.38,188811.87,9532.19,62048.54,0
"Estate: $291105.20, Debts: $7885.36, Funeral: $5696.23, Bequest: $71238.74.",291105.2,7885.36,5696.23,71238.74,0
"Estate: $263642.47, Debts: $141115.03, Funeral: $7662.10, Bequest: $124637.20.",263642.47,141115.03,7662.1,124637.2,1
"Estate: $265064.06, Debts: $185049.66, Funeral: $7055.48, Bequest: $67475.94.",265064.06,185049.66,7055.48,67475.94,0
"Estate: $373818.02, Debts: $36115.07, Funeral: $6736.72, Bequest: $146807.11.",373818.02,36115.07,6736.72,146807.11,1
"Estate: $572280.79, Debts: $113589.05, Funeral: $9499.17, Bequest: $81500.95.",572280.79,113589.05,9499.17,81500.95,0
"Estate: $488750.52, Debts: $183097.66, Funeral: $5109.12, Bequest: $14602.29.",488750.52,183097.66,5109.12,14602.29,0
"Estate: $362106.23, Debts: $6789.20, Funeral: $8318.95, Bequest: $156968.21.",362106.23,6789.2,8318.95,156968.21,1
"Estate: $650667.61, Debts: $139484.05, Funeral: $9816.97, Bequest: $57865.91.",650667.61,139484.05,9816.97,57865.91,0
"Estate: $225544.47, Debts: $59469.80, Funeral: $7800.84, Bequest: $87120.61.",225544.47,59469.8,7800.84,87120.61,0
"Estate: $362930.18, Debts: $184879.24, Funeral: $9684.11, Bequest: $137403.33.",362930.18,184879.24,9684.11,137403.33,1
"Estate: $429725.66, Debts: $194211.65, Funeral: $5261.29, Bequest: $67158.78.",429725.66,194211.65,5261.29,67158.78,0
"Estate: $510462.99, Debts: $188853.30, Funeral: $7093.97, Bequest: $12260.55.",510462.99,188853.3,7093.97,12260.55,0
"Estate: $806658.37, Debts: $94842.84, Funeral: $6300.79, Bequest: $75410.29.",806658.37,94842.84,6300.79,75410.29,0
"Estate: $279706.40, Debts: $172408.53, Funeral: $8654.10, Bequest: $188945.27.",279706.4,172408.53,8654.1,188945.27,1
"Estate: $562810.99, Debts: $168909.88, Funeral: $9906.49, Bequest: $128705.15.",562810.99,168909.88,9906.49,128705.15,1
"Estate: $633173.11, Debts: $63820.09, Funeral: $6282.65, Bequest: $134624.35.",633173.11,63820.09,6282.65,134624.35,1
"Estate: $141805.37, Debts: $165783.09, Funeral: $8270.87, Bequest: $126824.15.",141805.37,165783.09,8270.87,126824.15,1
"Estate: $646790.37, Debts: $7401.53, Funeral: $5990.49, Bequest: $40599.44.",646790.37,7401.53,5990.49,40599.44,0
"Estate: $253471.71, Debts: $119253.98, Funeral: $7826.65, Bequest: $84248.44.",253471.71,119253.98,7826.65,84248.44,0
"Estate: $158546.43, Debts: $46001.77, Funeral: $7319.66, Bequest: $150437.02.",158546.43,46001.77,7319.66,150437.02,1
"Estate: $953996.98, Debts: $24113.38, Funeral: $9860.03, Bequest: $21173.21.",953996.98,24113.38,9860.03,21173.21,0
"Estate: $969068.83, Debts: $15390.64, Funeral: $8042.64, Bequest: $56292.70.",969068.83,15390.64,8042.64,56292.7,0
"Estate: $827557.61, Debts: $139257.76, Funeral: $6747.53, Bequest: $55987.50.",827557.61,139257.76,6747.53,55987.5,0
"Estate: $374152.39, Debts: $67974.99, Funeral: $5570.48, Bequest: $86971.77.",374152.39,67974.99,5570.48,86971.77,0
"Estate: $187904.90, Debts: $144953.35, Funeral: $5756.23, Bequest: $196093.38.",187904.9,144953.35,5756.23,196093.38,1
"Estate: $715809.72, Debts: $13071.27, Funeral: $6126.58, Bequest: $14433.01.",715809.72,13071.27,6126.58,14433.01,0
"Estate: $496137.24, Debts: $63058.07, Funeral: $6254.83, Bequest: $104221.50.",496137.24,63058.07,6254.83,104221.5,1
"Estate: $209834.41, Debts: $107898.26, Funeral: $9253.08, Bequest: $36693.57.",209834.41,107898.26,9253.08,36693.57,0
"Estate: $545659.22, Debts: $158144.63, Funeral: $7806.11, Bequest: $194164.63.",545659.22,158144.63,7806.11,194164.63,1
"Estate: $130949.67, Debts: $63750.50, Funeral: $7616.95, Bequest: $23547.40.",130949.67,63750.5,7616.95,23547.4,0
"Estate: $918388.36, Debts: $125178.28, Funeral: $5573.84, Bequest: $81316.60.",918388.36,125178.28,5573.84,81316.6,0
"Estate: $332901.98, Debts: $177195.55, Funeral: $9300.70, Bequest: $147839.11.",332901.98,177195.55,9300.7,147839.11,1
"Estate: $696270.06, Debts: $123172.64, Funeral: $8614.07, Bequest: $141206.33.",696270.06,123172.64,8614.07,141206.33,1
"Estate: $380539.97, Debts: $46591.89, Funeral: $5338.34, Bequest: $85123.00.",380539.97,46591.89,5338.34,85123.0,0
"Estate: $568061.22, Debts: $4880.16, Funeral: $8539.18, Bequest: $69958.31.",568061.22,4880.16,8539.18,69958.31,0
"Estate: $592039.25, Debts: $174019.77, Funeral: $7717.69, Bequest: $80124.86.",592039.25,174019.77,7717.69,80124.86,0
"Estate: $266369.01, Debts: $4253.88, Funeral: $5408.63, Bequest: $53590.98.",266369.01,4253.88,5408.63,53590.98,0
"Estate: $972626.16, Debts: $174940.33, Funeral: $7291.50, Bequest: $41861.25.",972626.16,174940.33,7291.5,41861.25,0
"Estate: $797619.54, Debts: $105787.43, Funeral: $7423.48, Bequest: $97124.90.",797619.54,105787.43,7423.48,97124.9,0
"Estate: $945549.05, Debts: $187813.54, Funeral: $5828.87, Bequest: $54438.22.",945549.05,187813.54,5828.87,54438.22,0
"Estate: $905344.62, Debts: $159756.65, Funeral: $9728.49, Bequest: $58204.87.",905344.62,159756.65,9728.49,58204.87,0
"Estate: $638109.98, Debts: $199586.82, Funeral: $9249.88, Bequest: $131694.46.",638109.98,199586.82,9249.88,131694.46,1
"Estate: $929686.81, Debts: $70142.36, Funeral: $8345.11, Bequest: $193738.93.",929686.81,70142.36,8345.11,193738.93,1
"Estate: $179643.25, Debts: $153437.66, Funeral: $7311.48, Bequest: $121123.80.",179643.25,153437.66,7311.48,121123.8,1
"Estate: $276384.58, Debts: $80386.18, Funeral: $7058.83, Bequest: $16318.91.",276384.58,80386.18,7058.83,16318.91,0
"Estate: $140704.56, Debts: $95975.12, Funeral: $8254.87, Bequest: $16041.14.",140704.56,95975.12,8254.87,16041.14,0
"Estate: $392797.30, Debts: $125501.09, Funeral: $7727.16, Bequest: $190333.22.",392797.3,125501.09,7727.16,190333.22,1
"Estate: $449809.56, Debts: $174735.42, Funeral: $5311.37, Bequest: $60160.87.",449809.56,174735.42,5311.37,60160.87,0
"Estate: $344214.13, Debts: $196816.69, Funeral: $7562.51, Bequest: $19321.33.",344214.13,196816.69,7562.51,19321.33,0
"Estate: $845863.76, Debts: $153654.68, Funeral: $9032.02, Bequest: $120209.87.",845863.76,153654.68,9032.02,120209.87,1
"Estate: $421077.99, Debts: $83553.36, Funeral: $7296.20, Bequest: $125106.11.",421077.99,83553.36,7296.2,125106.11,1
"Estate: $352841.06, Debts: $84271.40, Funeral: $5259.78, Bequest: $130052.46.",352841.06,84271.4,5259.78,130052.46,1
"Estate: $588426.47, Debts: $147516.46, Funeral: $8931.39, Bequest: $54213.00.",588426.47,147516.46,8931.39,54213.0,0
"Estate: $226831.80, Debts: $47755.43, Funeral: $6006.82, Bequest: $4007.03.",226831.8,47755.43,6006.82,4007.03,0
"Estate: $821977.28, Debts: $22094.82, Funeral: $6293.10, Bequest: $193038.06.",821977.28,22094.82,6293.1,193038.06,1
"Estate: $167095.58, Debts: $70924.43, Funeral: $5823.53, Bequest: $50927.72.",167095.58,70924.43,5823.53,50927.72,0
"Estate: $988198.24, Debts: $57447.80, Funeral: $6651.08, Bequest: $135529.23.",988198.24,57447.8,6651.08,135529.23,1
"Estate: $795020.29, Debts: $59261.62, Funeral: $8783.76, Bequest: $141619.34.",795020.29,59261.62,8783.76,141619.34,1
"Estate: $278844.11, Debts: $46721.55, Funeral: $7596.93, Bequest: $122391.48.",278844.11,46721.55,7596.93,122391.48,1
"Estate: $104969.91, Debts: $8418.64, Funeral: $6024.41, Bequest: $63268.57.",104969.91,8418.64,6024.41,63268.57,0
"Estate: $833915.29, Debts: $3574.79, Funeral: $9389.15, Bequest: $54948.15.",833915.29,3574.79,9389.15,54948.15,0
"Estate: $736171.61, Debts: $197544.48, Funeral: $9397.91, Bequest: $119935.99.",736171.61,197544.48,9397.91,119935.99,1
"Estate: $756106.45, Debts: $85554.63, Funeral: $9352.89, Bequest: $173353.03.",756106.45,85554.63,9352.89,173353.03,1
"Estate: $794143.31, Debts: $76865.33, Funeral: $6193.98, Bequest: $189400.01.",794143.31,76865.33,6193.98,189400.01,1
"Estate: $166640.19, Debts: $135929.46, Funeral: $7256.20, Bequest: $22075.26.",166640.19,135929.46,7256.2,22075.26,0
"Estate: $422619.16, Debts: $43650.78, Funeral: $9924.95, Bequest: $31810.89.",422619.16,43650.78,9924.95,31810.89,0
"Estate: $204282.15, Debts: $189992.24, Funeral: $8860.06, Bequest: $189002.52.",204282.15,189992.24,8860.06,189002.52,1
