text,estate,total_assets,debts,funeral_expenses,bequests,wife,husband,sons,daughters,father,mother,brothers,sisters,grandchildren
"The estate is worth $841,455.25. It has debts of $89,083.21, funeral expenses of $5,817.69, a bequest of $47,843.65. Survivors include: a wife, 1 son(s), 2 daughter(s), 3 brother(s), 3 sister(s), 2 grandchild(ren)",698710.7000000001,841455.25,89083.21,5817.69,47843.65,1,0,1,2,0,0,3,3,2
"The estate is worth $887,694.56. It has debts of $89,149.37, funeral expenses of $1,751.97, a bequest of $243,374.33. Survivors include: a wife, 5 son(s), 5 daughter(s), a father, 1 sister(s)",553418.8900000001,887694.56,89149.37,1751.97,243374.33,1,0,5,5,1,0,0,1,0
"The estate is worth $68,499.21. It has debts of $648.46, funeral expenses of $9,721.78, a bequest of $17,774.84. Survivors include: a husband, 3 son(s), 1 daughter(s), 3 brother(s), 1 grandchild(ren)",40354.130000000005,68499.21,648.46,9721.78,17774.84,0,1,3,1,0,0,3,0,1
"The estate is worth $544,337.02. It has debts of $23,549.63, funeral expenses of $3,306.80, a bequest of $165,834.40. Survivors include: 3 son(s), 4 daughter(s), a father, a mother, 2 brother(s), 2 sister(s), 2 grandchild(ren)",351646.19000000006,544337.02,23549.63,3306.8,165834.4,0,0,3,4,1,1,2,2,2
"The estate is worth $883,705.28. It has debts of $199,933.12, funeral expenses of $6,520.82, a bequest of $177,838.94. Survivors include: a wife, 5 son(s), 4 daughter(s), a father, 2 brother(s), 3 sister(s), 1 grandchild(ren)",499412.4000000001,883705.28,199933.12,6520.82,177838.94,1,0,5,4,1,0,2,3,1
"The estate is worth $478,131.23. It has debts of $26,006.01, funeral expenses of $9,970.83, a bequest of $126,531.84. Survivors include: a wife, 4 son(s), a mother, 3 sister(s), 2 grandchild(ren)",315622.55,478131.23,26006.01,9970.83,126531.84,1,0,4,0,0,1,0,3,2
"The estate is worth $399,721.60. It has debts of $24,587.61, funeral expenses of $7,272.79, a bequest of $18,603.84. Survivors include: a husband, 3 son(s), 5 daughter(s), a mother, 2 brother(s), 1 sister(s)",349257.36,399721.6,24587.61,7272.79,18603.84,0,1,3,5,0,1,2,1,0
"The estate is worth $382,132.09. It has debts of $26,582.50, funeral expenses of $8,858.27, a bequest of $44,413.54. Survivors include: a husband, 3 son(s), 1 daughter(s), a father, a mother, 3 sister(s), 2 grandchild(ren)",302277.78,382132.09,26582.5,8858.27,44413.54,0,1,3,1,1,1,0,3,2
"The estate is worth $479,429.25. It has debts of $69,565.41, funeral expenses of $2,372.40, a bequest of $57,332.67. Survivors include: a wife, 4 son(s), 2 daughter(s), a father, 2 sister(s), 1 grandchild(ren)",350158.77,479429.25,69565.41,2372.4,57332.67,1,0,4,2,1,0,0,2,1
"The estate is worth $959,997.35. It has debts of $163,068.10, funeral expenses of $9,783.98, a bequest of $235,675.58. Survivors include: a wife, 2 son(s), 4 daughter(s), a father, 1 brother(s), 3 sister(s), 2 grandchild(ren)",551469.6900000001,959997.35,163068.1,9783.98,235675.58,1,0,2,4,1,0,1,3,2
