estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters,net_estate,shares_total,distribution_check
170040,22540,2663.76,1,0,1,1,1,1,1,1,0,1,36209.06,0.0,24139.37,24139.37,40232.29,20116.14,144836.24,144836.22999999998,True
181741,10376,14674.26,0,0,1,1,1,1,1,1,1,1,0.0,0.0,26115.12,26115.12,69640.33,34820.16,156690.74,156690.73,True
158290,2848,2591.0,1,0,0,0,1,0,0,1,1,0,38212.75,0.0,0.0,0.0,114638.25,0.0,152851.0,152851.0,True
167814,34762,4936.79,0,1,1,1,0,1,1,0,1,1,0.0,16014.4,21352.53,21352.53,0.0,64057.61,128115.21,122777.07,False
101742,21068,12245.39,0,1,1,1,0,1,1,0,1,0,0.0,7603.18,10137.57,10137.57,0.0,40550.29,68428.61,68428.61,True
143847,19321,25961.21,1,0,1,0,1,0,1,1,0,0,24641.2,0.0,16427.47,0.0,57496.13,0.0,98564.79000000001,98564.79999999999,True
191407,4240,29551.75,0,0,0,0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,105076.83,52538.42,157615.25,157615.25,True
83800,18885,12333.4,0,0,1,0,1,0,0,0,0,1,0.0,0.0,8763.6,0.0,43818.0,0.0,52581.6,52581.6,True
161467,22824,11774.81,0,0,0,1,0,1,1,1,0,1,0.0,0.0,0.0,21144.7,0.0,84578.79,126868.19,105723.48999999999,False
131728,15116,9409.02,1,0,1,0,0,1,1,0,1,0,24739.15,0.0,16492.77,0.0,0.0,65971.06,107202.98,107202.98,True
62614,10836,9402.03,1,0,0,0,0,0,1,1,0,1,21187.99,0.0,0.0,0.0,0.0,0.0,42375.97,21187.99,False
123278,20584,14157.39,1,0,1,0,0,1,1,1,1,1,20431.53,0.0,13621.02,0.0,0.0,54484.07,88536.61,88536.62,True
193379,36771,39982.63,0,0,0,0,1,0,1,0,1,1,0.0,0.0,0.0,0.0,116625.37,0.0,116625.37,116625.37,True
163454,29434,19599.37,1,0,1,1,1,1,1,0,0,0,28605.16,0.0,19070.1,19070.1,31783.51,15891.75,114420.63,114420.61999999998,True
186630,29810,22085.4,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,76991.2,57743.4,134734.6,134734.6,True
121070,12739,22545.65,1,0,1,0,1,1,1,1,0,0,21446.34,0.0,14297.56,0.0,37531.09,12510.36,85785.35,85785.34999999999,True
96177,7821,12213.82,1,0,1,0,1,1,1,1,0,0,19035.54,0.0,12690.36,0.0,29610.85,14805.42,76142.18,76142.17,True
151726,28320,16983.81,1,0,1,0,0,1,1,1,1,1,24558.97,0.0,16372.64,0.0,0.0,65490.58,106422.19,106422.19,True
152012,31621,2588.67,1,0,0,1,1,0,1,1,0,0,29450.58,0.0,0.0,19633.72,68718.03,0.0,117802.33,117802.33,True
149495,22464,41559.87,1,0,1,0,1,1,1,0,0,1,21367.78,0.0,14245.19,0.0,33238.77,16619.39,85471.13,85471.12999999999,True
150990,41773,29709.07,0,0,1,0,0,1,0,0,0,1,0.0,0.0,13251.32,0.0,0.0,53005.29,79507.93,66256.61,False
189701,6151,14431.76,0,0,0,1,1,1,0,1,1,0,0.0,0.0,0.0,28186.37,80532.5,60399.37,169118.24,169118.24,True
188371,53460,1418.04,0,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,133492.96,0.0,133492.96,133492.96,True
70528,17906,1359.12,1,0,0,1,1,1,0,1,0,0,12815.72,0.0,0.0,8543.81,14951.67,14951.67,51262.88,51262.869999999995,True
197053,36524,12942.63,0,0,1,1,1,1,1,0,1,0,0.0,0.0,24597.73,24597.73,56223.38,42167.53,147586.37,147586.37,True
164368,35927,1007.51,1,0,0,0,1,0,1,1,1,1,31858.37,0.0,0.0,0.0,95575.12,0.0,127433.49,127433.48999999999,True
191674,49263,46079.07,1,0,1,1,0,0,0,0,1,0,48165.96,0.0,16055.32,32110.64,0.0,0.0,96331.93,96331.92,True
123093,27876,22210.15,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,73006.85,0.0,73006.85,73006.85,True
192900,20421,27205.58,1,0,0,1,1,1,1,1,0,0,36318.35,0.0,0.0,24212.24,72636.71,12106.12,145273.41999999998,145273.41999999998,True
199247,1162,65673.56,1,0,1,0,1,0,1,1,1,1,33102.86,0.0,22068.57,0.0,77240.01,0.0,132411.44,132411.44,True
50912,12826,5555.8,0,1,0,0,1,0,1,0,1,1,0.0,4066.28,0.0,0.0,28463.92,0.0,32530.2,32530.199999999997,True
75345,17553,5570.91,1,0,0,1,1,1,1,1,0,1,13055.27,0.0,0.0,8703.51,24369.84,6092.46,52221.09,52221.079999999994,True
173106,6046,33970.32,1,0,1,1,0,1,1,1,1,1,30713.0,0.0,20475.34,20475.34,0.0,61426.01,133089.68,133089.69,True
181737,5,42797.18,1,0,0,1,1,0,1,1,1,1,34733.71,0.0,0.0,23155.8,81045.31,0.0,138934.82,138934.82,True
83622,91,2327.05,0,1,1,1,0,1,1,1,1,0,0.0,9022.66,12030.21,12030.21,0.0,48120.86,81203.95,81203.94,True
100480,22016,15647.36,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,10469.44,41877.76,10469.44,62816.64,62816.64000000001,True
182245,16823,30198.72,1,0,0,1,0,1,1,1,0,1,33805.82,0.0,0.0,22537.21,0.0,67611.64,135223.28,123954.67,False
76192,4338,14201.39,0,0,1,0,1,1,1,0,0,0,0.0,0.0,9608.77,0.0,32029.23,16014.61,57652.61,57652.61,True
88550,24602,3710.76,0,0,1,1,1,1,1,1,1,0,0.0,0.0,10039.54,10039.54,26772.11,13386.05,60237.24,60237.240000000005,True
138627,31340,7665.7,1,0,1,1,1,0,1,1,1,0,24905.33,0.0,16603.55,16603.55,41508.88,0.0,99621.3,99621.31,True
79689,4824,16992.34,0,1,1,1,1,0,0,0,1,1,0.0,7234.08,9645.44,9645.44,31347.69,0.0,57872.66,57872.649999999994,True
183917,12186,2518.39,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,112808.41,56404.2,169212.61,169212.61,True
74972,1003,9075.62,0,1,0,0,1,0,1,1,0,1,0.0,8111.67,0.0,0.0,56781.71,0.0,64893.38,64893.38,True
