estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters
170040,22540,2663.76,1,0,1,1,1,1,1,1,0,1,36209.06,0.0,24139.37,24139.37,40232.29,20116.14
181741,10376,14674.26,0,0,1,1,1,1,1,1,1,1,0.0,0.0,26115.12,26115.12,69640.33,34820.16
158290,2848,2591.0,1,0,0,0,1,0,0,1,1,0,38212.75,0.0,0.0,0.0,114638.25,0.0
167814,34762,4936.79,0,1,1,1,0,1,1,0,1,1,0.0,16014.4,21352.53,21352.53,0.0,64057.61
101742,21068,12245.39,0,1,1,1,0,1,1,0,1,0,0.0,7603.18,10137.57,10137.57,0.0,40550.29
143847,19321,25961.21,1,0,1,0,1,0,1,1,0,0,24641.2,0.0,16427.47,0.0,57496.13,0.0
191407,4240,29551.75,0,0,0,0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,105076.83,52538.42
83800,18885,12333.4,0,0,1,0,1,0,0,0,0,1,0.0,0.0,8763.6,0.0,43818.0,0.0
161467,22824,11774.81,0,0,0,1,0,1,1,1,0,1,0.0,0.0,0.0,21144.7,0.0,84578.79
131728,15116,9409.02,1,0,1,0,0,1,1,0,1,0,24739.15,0.0,16492.77,0.0,0.0,65971.06
62614,10836,9402.03,1,0,0,0,0,0,1,1,0,1,21187.99,0.0,0.0,0.0,0.0,0.0
123278,20584,14157.39,1,0,1,0,0,1,1,1,1,1,20431.53,0.0,13621.02,0.0,0.0,54484.07
193379,36771,39982.63,0,0,0,0,1,0,1,0,1,1,0.0,0.0,0.0,0.0,116625.37,0.0
163454,29434,19599.37,1,0,1,1,1,1,1,0,0,0,28605.16,0.0,19070.1,19070.1,31783.51,15891.75
186630,29810,22085.4,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,76991.2,57743.4
121070,12739,22545.65,1,0,1,0,1,1,1,1,0,0,21446.34,0.0,14297.56,0.0,37531.09,12510.36
96177,7821,12213.82,1,0,1,0,1,1,1,1,0,0,19035.54,0.0,12690.36,0.0,29610.85,14805.42
151726,28320,16983.81,1,0,1,0,0,1,1,1,1,1,24558.97,0.0,16372.64,0.0,0.0,65490.58
152012,31621,2588.67,1,0,0,1,1,0,1,1,0,0,29450.58,0.0,0.0,19633.72,68718.03,0.0
149495,22464,41559.87,1,0,1,0,1,1,1,0,0,1,21367.78,0.0,14245.19,0.0,33238.77,16619.39
150990,41773,29709.07,0,0,1,0,0,1,0,0,0,1,0.0,0.0,13251.32,0.0,0.0,53005.29
189701,6151,14431.76,0,0,0,1,1,1,0,1,1,0,0.0,0.0,0.0,28186.37,80532.5,60399.37
188371,53460,1418.04,0,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,133492.96,0.0
70528,17906,1359.12,1,0,0,1,1,1,0,1,0,0,12815.72,0.0,0.0,8543.81,14951.67,14951.67
197053,36524,12942.63,0,0,1,1,1,1,1,0,1,0,0.0,0.0,24597.73,24597.73,56223.38,42167.53
164368,35927,1007.51,1,0,0,0,1,0,1,1,1,1,31858.37,0.0,0.0,0.0,95575.12,0.0
191674,49263,46079.07,1,0,1,1,0,0,0,0,1,0,48165.96,0.0,16055.32,32110.64,0.0,0.0
123093,27876,22210.15,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,73006.85,0.0
192900,20421,27205.58,1,0,0,1,1,1,1,1,0,0,36318.35,0.0,0.0,24212.24,72636.71,12106.12
199247,1162,65673.56,1,0,1,0,1,0,1,1,1,1,33102.86,0.0,22068.57,0.0,77240.01,0.0
50912,12826,5555.8,0,1,0,0,1,0,1,0,1,1,0.0,4066.28,0.0,0.0,28463.92,0.0
75345,17553,5570.91,1,0,0,1,1,1,1,1,0,1,13055.27,0.0,0.0,8703.51,24369.84,6092.46
173106,6046,33970.32,1,0,1,1,0,1,1,1,1,1,30713.0,0.0,20475.34,20475.34,0.0,61426.01
181737,5,42797.18,1,0,0,1,1,0,1,1,1,1,34733.71,0.0,0.0,23155.8,81045.31,0.0
83622,91,2327.05,0,1,1,1,0,1,1,1,1,0,0.0,9022.66,12030.21,12030.21,0.0,48120.86
100480,22016,15647.36,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,10469.44,41877.76,10469.44
182245,16823,30198.72,1,0,0,1,0,1,1,1,0,1,33805.82,0.0,0.0,22537.21,0.0,67611.64
76192,4338,14201.39,0,0,1,0,1,1,1,0,0,0,0.0,0.0,9608.77,0.0,32029.23,16014.61
88550,24602,3710.76,0,0,1,1,1,1,1,1,1,0,0.0,0.0,10039.54,10039.54,26772.11,13386.05
138627,31340,7665.7,1,0,1,1,1,0,1,1,1,0,24905.33,0.0,16603.55,16603.55,41508.88,0.0
79689,4824,16992.34,0,1,1,1,1,0,0,0,1,1,0.0,7234.08,9645.44,9645.44,31347.69,0.0
183917,12186,2518.39,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,112808.41,56404.2
74972,1003,9075.62,0,1,0,0,1,0,1,1,0,1,0.0,8111.67,0.0,0.0,56781.71,0.0
192616,22440,53860.48,1,0,0,1,0,1,0,1,1,1,26842.04,0.0,0.0,17894.7,0.0,71578.78
82526,10568,8151.97,1,0,0,1,0,0,0,1,1,0,31903.01,0.0,0.0,10634.34,0.0,0.0
186820,23085,40340.75,1,0,0,0,0,1,1,1,1,1,30848.56,0.0,0.0,0.0,0.0,82262.83
181928,6315,15374.49,1,0,1,1,1,1,1,0,1,1,40059.63,0.0,26706.42,26706.42,53412.84,13353.21
127412,11961,859.64,1,0,0,1,1,1,0,1,0,1,28647.84,0.0,0.0,19098.56,50133.72,16711.24
166546,21663,3037.4,0,0,0,1,0,1,0,1,0,1,0.0,0.0,0.0,23640.93,0.0,94563.73
106741,16570,17319.86,0,1,1,1,1,0,1,0,1,1,0.0,9106.39,12141.86,12141.86,39461.03,0.0
74231,3253,10804.51,0,1,0,1,1,1,1,1,1,0,0.0,7521.69,0.0,10028.91,21311.44,21311.44
141835,4084,41550.18,0,0,1,0,0,1,1,0,1,0,0.0,0.0,16033.47,0.0,0.0,48100.41
88174,9371,13496.81,0,0,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,65306.19,0.0
115463,17006,18307.7,0,0,1,0,1,0,0,1,0,0,0.0,0.0,13358.22,0.0,66791.08,0.0
177735,10787,8654.0,1,0,1,0,0,1,1,1,0,0,36529.38,0.0,24352.92,0.0,0.0,97411.69
149054,18285,3959.23,1,0,0,0,1,0,1,0,0,0,31702.44,0.0,0.0,0.0,95107.33,0.0
183927,53558,4290.58,0,0,1,1,1,1,0,0,1,0,0.0,0.0,21013.07,21013.07,72044.81,12007.47
111539,7887,25791.01,0,0,1,1,1,1,0,1,0,1,0.0,0.0,12976.83,12976.83,44491.99,7415.33
185497,33187,5505.75,1,0,0,1,0,1,1,1,1,0,33877.9,0.0,0.0,22585.27,0.0,90341.08
129758,2859,21865.9,1,0,1,0,1,1,1,0,0,0,26258.28,0.0,17505.52,0.0,35011.03,26258.28
65910,14959,5531.4,0,1,1,1,1,1,1,1,0,0,0.0,5677.45,7569.93,7569.93,18451.71,6150.57
55736,12114,12843.91,1,0,0,1,1,0,1,0,0,0,7694.52,0.0,0.0,5129.68,17953.89,0.0
116523,23474,707.83,0,0,1,1,1,0,1,1,0,0,0.0,0.0,15390.19,15390.19,61560.78,0.0
110908,17957,16762.73,1,0,1,1,0,1,1,1,1,0,15237.65,0.0,10158.44,10158.44,0.0,40633.74
173986,42146,28473.33,1,0,1,0,1,1,1,1,0,1,25841.67,0.0,17227.78,0.0,34455.56,25841.67
162850,41081,3590.11,1,0,0,1,0,1,1,1,1,1,29544.72,0.0,0.0,19696.48,0.0,59089.44
55206,751,1740.74,1,0,0,1,0,0,1,0,0,1,26357.13,0.0,0.0,8785.71,0.0,0.0
145926,24394,35723.22,0,1,1,1,1,1,1,0,0,1,0.0,10726.1,14301.46,14301.46,26559.86,19919.9
138596,36818,2215.19,1,0,1,0,0,0,0,0,1,1,49781.4,0.0,49781.41,0.0,0.0,0.0
100784,1900,11252.35,1,0,1,1,1,1,1,1,1,0,21907.91,0.0,14605.27,14605.27,24342.13,12171.06
136547,17880,14820.34,0,0,1,1,1,1,1,0,0,1,0.0,0.0,17307.78,17307.78,27692.44,41538.66
151437,7303,37953.0,0,0,1,1,1,1,0,1,1,0,0.0,0.0,17696.83,17696.83,47191.56,23595.78
60064,15471,13773.35,1,0,1,0,1,1,1,1,1,1,7704.91,0.0,5136.61,0.0,8989.06,8989.06
193523,481,43904.23,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99425.18
114880,25935,6620.57,1,0,1,1,1,1,0,0,0,0,20581.11,0.0,13720.74,13720.74,29401.58,4900.26
177249,49314,16112.6,0,0,0,1,1,1,0,1,0,1,0.0,0.0,0.0,18637.07,79873.14,13312.19
139013,11300,33867.1,1,0,0,0,1,1,0,1,0,0,23461.47,0.0,0.0,0.0,46922.95,23461.47
189539,54737,11218.33,0,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,82389.11
71997,8089,1046.61,0,0,1,1,0,0,0,1,0,1,0.0,0.0,52384.49,10476.9,0.0,0.0
180309,7602,7768.66,1,0,1,1,1,1,1,1,1,1,41234.58,0.0,27489.72,27489.72,34362.15,34362.15
169268,23760,7409.35,1,0,0,0,1,1,1,0,0,0,34524.66,0.0,0.0,0.0,88777.7,14796.28
110757,14388,23625.3,0,0,1,0,1,1,1,0,0,1,0.0,0.0,12123.95,0.0,40413.17,20206.58
145298,32318,37446.35,1,0,1,1,1,1,0,1,1,0,18883.41,0.0,12588.94,12588.94,20981.57,10490.78
61265,1873,1210.83,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,38787.45,19393.72
66988,12863,9905.23,1,0,0,1,1,0,1,1,0,1,11054.94,0.0,0.0,7369.96,25794.87,0.0
149252,8848,31000.23,1,0,1,0,1,1,1,1,0,1,27350.94,0.0,18233.96,0.0,31909.43,31909.43
77712,1668,12723.7,0,1,1,1,1,0,0,0,1,0,0.0,7915.04,10553.38,10553.38,34298.5,0.0
143129,24330,9557.95,1,0,1,0,1,1,0,1,0,1,27310.26,0.0,18206.84,0.0,54620.53,9103.42
83814,1896,12156.99,1,0,1,0,1,0,1,0,0,1,17440.25,0.0,11626.83,0.0,40693.92,0.0
140606,35963,2919.04,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,81379.17,20344.79
80446,3410,25465.4,0,0,1,1,0,1,1,1,0,1,0.0,0.0,8595.1,8595.1,0.0,25785.3
103818,25611,8257.16,1,0,1,0,0,1,1,1,1,0,17487.46,0.0,11658.31,0.0,0.0,34974.92
67344,4357,9760.04,0,1,0,1,0,1,1,1,0,0,0.0,6653.37,0.0,8871.16,0.0,26613.48
72332,11953,3708.32,1,0,1,0,1,1,1,1,0,1,14167.67,0.0,9445.11,0.0,18890.23,14167.67
150374,1542,40772.02,0,0,0,1,1,1,0,0,1,1,0.0,0.0,0.0,18010.0,36019.99,54029.99
198241,55291,2481.62,1,0,0,0,1,1,0,1,0,1,35117.1,0.0,0.0,0.0,70234.19,35117.1
157197,40478,35854.95,1,0,1,0,1,1,0,0,0,0,20216.01,0.0,13477.34,0.0,23585.35,23585.35
197428,56894,10756.94,1,0,1,0,1,1,0,1,0,0,32444.26,0.0,21629.51,0.0,64888.53,10814.76
155060,37963,2468.46,1,0,0,0,1,1,1,0,1,0,28657.13,0.0,0.0,0.0,64478.55,21492.85
87573,18208,15468.07,0,1,1,0,1,1,1,1,1,0,0.0,6737.12,8982.82,0.0,25451.33,12725.66
163009,3882,22468.77,0,0,1,0,0,1,1,0,1,0,0.0,0.0,22776.37,0.0,0.0,68329.12
87291,19638,10475.44,1,0,1,0,1,1,1,1,0,1,14294.39,0.0,9529.59,0.0,25015.18,8338.39
195405,27140,29823.44,0,1,1,1,1,1,1,1,1,0,0.0,17305.19,23073.59,23073.59,49992.79,24996.39
151849,2177,45114.13,1,0,1,1,1,1,1,1,0,0,26139.47,0.0,17426.31,17426.31,24894.73,18671.05
123947,29080,16248.87,1,0,1,0,1,0,1,1,0,1,19654.53,0.0,13103.02,0.0,45860.58,0.0
81384,17414,8704.14,1,0,1,0,1,1,1,1,0,0,13816.47,0.0,9210.98,0.0,12895.37,19343.05
150778,28378,38843.65,0,0,1,0,1,1,1,1,1,1,0.0,0.0,13926.06,0.0,39788.74,29841.55
175180,16502,52311.29,0,0,1,0,1,1,1,1,0,1,0.0,0.0,17727.78,0.0,66479.19,22159.73
141223,41583,851.63,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,84675.75,14112.62
147411,4392,21786.91,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,20205.35,67351.16,33675.58
136236,19137,15731.48,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16894.59,42236.47,42236.47
150275,10453,31724.34,1,0,1,0,0,1,1,0,0,0,27024.42,0.0,18016.28,0.0,0.0,54048.83
176909,6140,17528.42,0,1,0,1,1,1,1,1,0,1,0.0,19155.07,0.0,25540.1,54272.71,54272.71
84278,2877,25401.07,0,0,1,0,0,1,1,1,1,1,0.0,0.0,9333.32,0.0,0.0,37333.29
151569,39497,28589.42,1,0,1,1,1,1,1,1,1,0,20870.65,0.0,13913.76,13913.76,19876.8,14907.6
176014,36795,28879.4,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,110339.6,0.0
189452,51184,22779.1,0,0,1,0,1,0,0,1,0,1,0.0,0.0,19248.15,0.0,96240.75,0.0
163593,14886,44713.4,0,1,0,1,1,0,1,0,1,1,0.0,12999.2,0.0,17332.27,73662.13,0.0
100246,1854,27670.21,1,0,0,0,0,1,1,0,0,0,17680.45,0.0,0.0,0.0,0.0,47147.86
140643,38882,69.39,1,0,0,0,1,1,1,1,0,1,25422.9,0.0,0.0,0.0,65373.18,10895.53
130688,13142,15317.88,1,0,1,0,1,1,1,1,0,1,25557.03,0.0,17038.02,0.0,47706.46,11926.61
189147,37539,33849.76,1,0,1,0,1,0,1,1,0,1,29439.56,0.0,19626.37,0.0,68692.31,0.0
160194,11063,48180.56,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16825.07,67300.29,16825.07
137883,11297,21725.38,1,0,1,0,0,1,1,0,1,1,24198.6,0.0,16132.4,0.0,0.0,64529.61
189780,51835,3218.32,1,0,0,1,1,0,1,1,0,1,33681.67,0.0,0.0,22454.45,78590.56,0.0
143264,18470,21900.99,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,102893.01,0.0
142564,31573,36689.72,1,0,1,0,1,1,0,1,1,0,18575.32,0.0,12383.55,0.0,28894.94,14447.47
89572,3934,4986.29,0,0,1,1,1,1,1,0,0,1,0.0,0.0,13441.95,13441.95,35845.2,17922.6
100005,2996,15603.21,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13567.63,13567.63,36180.35,18090.18
137724,4604,43640.14,0,1,1,0,1,1,1,1,0,0,0.0,11184.98,14913.31,0.0,36218.04,27163.53
66223,8661,13748.13,0,1,1,0,1,1,1,0,0,0,0.0,5476.73,7302.31,0.0,26601.28,4433.55
162302,31048,23138.96,1,0,1,0,0,1,1,1,0,1,27028.76,0.0,18019.17,0.0,0.0,54057.52
144316,39724,32492.98,1,0,0,0,1,0,0,1,0,1,18024.76,0.0,0.0,0.0,54074.26,0.0
102381,6145,29759.74,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,66476.26,0.0
143921,24991,16840.08,1,0,0,1,1,1,0,1,0,0,25522.48,0.0,0.0,17014.99,44664.34,14888.11
77081,5815,22440.89,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,41850.09,6975.02
53854,4430,12718.59,0,0,1,1,1,1,0,1,0,0,0.0,0.0,6117.57,6117.57,19576.22,4894.05
69369,10195,15298.04,1,0,0,0,1,1,0,0,0,1,10968.99,0.0,0.0,0.0,21937.98,10968.99
78284,2475,2593.69,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,12202.55,0.0,48810.21
170915,11502,36020.6,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,82261.6
67173,16303,4035.58,1,0,0,1,0,1,1,1,0,1,10807.94,0.0,0.0,7205.3,0.0,28821.18
181034,51901,1773.8,1,0,1,1,0,0,0,1,0,1,63679.6,0.0,42453.07,21226.53,0.0,0.0
115486,31453,4158.6,0,0,1,1,1,0,1,1,1,0,0.0,0.0,13312.4,13312.4,53249.6,0.0
124427,19268,17214.58,0,1,1,0,1,0,0,0,0,0,0.0,10993.05,14657.4,0.0,62293.96,0.0
126892,36297,9687.62,0,0,1,1,1,1,1,1,1,0,0.0,0.0,13484.56,13484.56,35958.84,17979.42
183275,4155,25556.21,1,0,0,0,1,1,0,0,0,0,38390.95,0.0,0.0,0.0,86379.63,28793.21
176419,25177,36566.74,0,1,0,0,1,1,1,1,0,1,0.0,14334.41,0.0,0.0,50170.43,50170.43
67710,19308,13548.65,0,0,1,0,1,1,1,1,0,0,0.0,0.0,5808.89,0.0,14522.23,14522.23
150162,33175,15743.94,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,16873.84,67495.37,16873.84
153617,31094,27271.96,1,0,1,0,1,1,1,0,1,1,23812.76,0.0,15875.17,0.0,31750.35,23812.76
174301,34835,21499.53,1,0,1,1,1,1,0,1,1,1,29491.62,0.0,19661.08,19661.08,32768.46,16384.23
152268,1237,21669.24,0,0,1,1,1,0,0,1,1,1,0.0,0.0,21560.29,21560.29,86241.17,0.0
110259,1776,17615.21,0,0,1,1,0,0,1,1,0,1,0.0,0.0,15144.63,15144.63,0.0,0.0
52172,11182,3400.0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,25060.0
174648,16264,21038.54,0,0,0,1,1,1,1,0,0,1,0.0,0.0,0.0,22890.91,85840.91,28613.64
144959,7574,44144.66,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,62160.23,31080.11
181496,7044,51989.74,0,0,1,0,0,1,1,1,1,0,0.0,0.0,20410.38,0.0,0.0,81641.51
186055,47492,18135.27,1,0,0,1,1,1,1,1,1,1,30106.93,0.0,0.0,20071.29,46833.01,23416.5
186776,41604,10676.88,0,0,1,0,1,1,1,1,0,1,0.0,0.0,22415.85,0.0,44831.71,67247.56
86805,14328,17745.24,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.0,9121.96,36487.84,9121.96
181965,27122,4441.87,1,0,1,0,0,1,1,0,1,0,34707.95,0.0,23138.64,0.0,0.0,92554.54
193118,11211,14176.0,1,0,0,0,0,1,1,0,1,0,41932.75,0.0,0.0,0.0,0.0,111820.67
197275,37215,32112.23,1,0,0,1,1,1,1,0,1,1,31986.94,0.0,0.0,21324.63,49757.47,24878.73
83240,11879,21539.19,1,0,0,1,1,1,1,0,0,0,12455.45,0.0,0.0,8303.63,16607.27,12455.45
179363,16322,34096.94,1,0,0,0,1,1,1,1,1,0,32236.01,0.0,0.0,0.0,55261.74,41446.31
99091,7887,11096.19,0,1,0,1,1,1,1,1,1,1,0.0,10013.48,0.0,13351.3,37828.69,18914.34
179802,16958,42944.16,0,0,0,0,1,1,1,0,1,1,0.0,0.0,0.0,0.0,79933.23,39966.61
164189,22357,45309.95,0,0,1,0,1,1,1,1,0,0,0.0,0.0,16087.01,0.0,40217.52,40217.52
78385,3102,9390.08,1,0,1,0,1,1,0,0,0,0,16473.23,0.0,10982.15,0.0,32946.46,5491.08
127295,8399,17976.94,1,0,1,0,1,1,1,0,1,0,25229.76,0.0,16819.84,0.0,39246.3,19623.15
168167,17123,47977.69,0,0,1,1,1,1,1,0,0,1,0.0,0.0,17177.72,17177.72,45807.25,22903.62
175450,4751,32647.31,1,0,0,0,0,1,1,0,1,0,34512.92,0.0,0.0,0.0,0.0,69025.85
165515,38537,7006.54,0,0,1,1,0,1,1,1,0,0,0.0,0.0,19995.24,19995.24,0.0,59985.73
