debts,bequests,wife,husband,sons,daughters,father,mother,brothers,sisters,debts_minmax,bequests_minmax,wife_minmax,husband_minmax,sons_minmax,daughters_minmax,father_minmax,mother_minmax,brothers_minmax,sisters_minmax,debts_standard,bequests_standard,wife_standard,husband_standard,sons_standard,daughters_standard,father_standard,mother_standard,brothers_standard,sisters_standard
89083.21,47843.65,1,0,1,2,0,0,3,3,0.36130854134047996,0.15320256553295195,1.0,0.0,0.2,0.4,0.0,0.0,1.0,1.0,0.4362728960439849,-0.43631745915194947,1.2738158702222242,-0.7647130532969382,-0.8871034795713161,-0.28014388447211463,-0.9990004995003746,-1.002202425332804,1.3610111252876211,1.3397444798761184
89149.37,243374.33,1,0,5,5,1,0,0,1,0.3615768861954175,0.7793983116632611,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.4374854871915504,2.607575921038822,1.2738158702222242,-0.7647130532969382,1.4547747663930872,1.4858398377727762,1.0010005005003753,-1.002202425332804,-1.3269634473673253,-0.43628054812960637
648.46,17774.84,0,1,3,1,0,0,3,0,0.0026173357752606974,0.05690585693867661,0.0,1.0,0.6000000000000001,0.2,0.0,0.0,1.0,0.0,-1.184573461077919,-0.9044089714875793,-0.7850428177076678,1.307680045068748,0.28383564341088563,-0.8688051252204115,-0.9990004995003746,-1.002202425332804,1.3610111252876211,-1.3242930621324687
23549.63,165834.4,0,0,3,4,1,1,2,2,0.09550444492809972,0.5310732185308589,0.0,0.0,0.6000000000000001,0.8,1.0,1.0,0.6666666666666666,0.6666666666666666,-0.7648371247584357,1.4004851482380738,-0.7850428177076678,-0.7647130532969382,0.28383564341088563,0.8971785970244792,1.0010005005003753,0.9978024146847653,0.4650196010693057,0.45173196587325604
199933.12,177838.94,1,0,5,4,1,0,2,3,0.8109156002703242,0.5695182946808071,1.0,0.0,1.0,0.8,1.0,0.0,0.6666666666666666,1.0,2.467947919841653,1.5873639533352348,1.2738158702222242,-0.7647130532969382,1.4547747663930872,0.8971785970244792,1.0010005005003753,-1.002202425332804,0.4650196010693057,1.3397444798761184
26006.01,126531.84,1,0,4,0,0,1,0,3,0.10546751830735722,0.4052050126614206,1.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,-0.7198161960544238,0.7886486721998858,1.2738158702222242,-0.7647130532969382,0.8693052049019865,-1.4574663659687084,-0.9990004995003746,0.9978024146847653,-1.3269634473673253,1.3397444798761184
24587.61,18603.84,0,1,3,5,0,1,2,1,0.09971449015978281,0.05956076650858158,0.0,1.0,0.6000000000000001,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,-0.7458128599556811,-0.8915036432179791,-0.7850428177076678,1.307680045068748,0.28383564341088563,1.4858398377727762,-0.9990004995003746,0.9978024146847653,0.4650196010693057,-0.43628054812960637
26582.5,44413.54,0,1,3,1,1,1,0,3,0.10780576083188852,0.14221748487574237,0.0,1.0,0.6000000000000001,0.2,1.0,1.0,0.0,1.0,-0.7092501943818098,-0.4897151618670741,-0.7850428177076678,1.307680045068748,0.28383564341088563,-0.8688051252204115,1.0010005005003753,0.9978024146847653,-1.3269634473673253,1.3397444798761184
69565.41,57332.67,1,0,4,2,1,0,0,2,0.2821443755348341,0.18359157639787313,1.0,0.0,0.8,0.4,1.0,0.0,0.0,0.6666666666666666,0.07854751061536212,-0.28859861951768934,1.2738158702222242,-0.7647130532969382,0.8693052049019865,-0.28014388447211463,1.0010005005003753,-1.002202425332804,-1.3269634473673253,0.45173196587325604
163068.1,235675.58,1,0,2,4,1,0,1,3,0.6613911376921419,0.7547427205277896,1.0,0.0,0.4,0.8,1.0,0.0,0.3333333333333333,1.0,1.7922798892063418,2.4877268305495766,1.2738158702222242,-0.7647130532969382,-0.3016339180802152,0.8971785970244792,1.0010005005003753,-1.002202425332804,-0.43097192314900984,1.3397444798761184
