record_id,estate,debts,wills,husband,wives,father,mother,sons,daughters,brothers_m,sisters_m,grandfather,grandmother,share_husband,share_wife,share_father,share_mother,share_sons,share_daughters
1,170040,22540,2663.76,True,0,True,True,2,2,1,2,False,True,36209.06,0,24139.37,24139.37,40232.29,20116.14
2,181741,10376,14674.26,False,0,True,True,1,1,1,2,True,True,0,0,26115.12,26115.12,69640.33,34820.16
3,158290,2848,2591.0,True,0,False,False,1,0,0,1,True,False,38212.75,0,0,0,114638.25,0
4,167814,34762,4936.79,False,1,True,True,0,1,1,0,True,True,0,16014.4,21352.53,21352.53,0,64057.61
5,101742,21068,12245.39,False,1,True,True,0,3,2,0,True,False,0,7603.18,10137.57,10137.57,0,40550.29
6,143847,19321,25961.21,True,0,True,False,2,0,1,2,False,False,24641.2,0,16427.47,0,57496.13,0
7,191407,4240,29551.75,False,0,False,False,1,1,0,2,False,True,0,0,0,0,105076.83,52538.42
8,83800,18885,12333.4,False,0,True,False,1,0,0,0,False,True,0,0,8763.6,0,43818.0,0
9,161467,22824,11774.81,False,0,False,True,0,3,2,2,False,True,0,0,0,21144.7,0,84578.79
10,131728,15116,9409.02,True,0,True,False,0,3,1,0,True,False,24739.15,0,16492.77,0,0,65971.06
11,62614,10836,9402.03,True,0,False,False,0,0,1,2,False,True,21187.99,0,0,0,0,0
12,123278,20584,14157.39,True,0,True,False,0,2,2,2,True,True,20431.53,0,13621.02,0,0,54484.07
13,193379,36771,39982.63,False,0,False,False,3,0,1,0,True,True,0,0,0,0,116625.37,0
14,163454,29434,19599.37,True,0,True,True,3,3,2,0,False,False,28605.16,0,19070.1,19070.1,31783.51,15891.75
15,186630,29810,22085.4,False,0,False,False,2,3,2,0,False,True,0,0,0,0,76991.2,57743.4
16,121070,12739,22545.65,True,0,True,False,3,2,2,2,False,False,21446.34,0,14297.56,0,37531.09,12510.36
17,96177,7821,12213.82,True,0,True,False,3,3,2,2,False,False,19035.54,0,12690.36,0,29610.85,14805.42
18,151726,28320,16983.81,True,0,True,False,0,3,2,1,True,True,24558.97,0,16372.64,0,0,65490.58
19,152012,31621,2588.67,True,0,False,True,3,0,2,1,False,False,29450.58,0,0,19633.72,68718.03,0
20,149495,22464,41559.87,True,0,True,False,3,3,2,0,False,True,21367.78,0,14245.19,0,33238.77,16619.39
21,150990,41773,29709.07,False,0,True,False,0,2,0,0,False,True,0,0,13251.32,0,0,53005.29
22,189701,6151,14431.76,False,0,False,True,2,3,0,1,True,False,0,0,0,28186.37,80532.5,60399.37
23,188371,53460,1418.04,False,0,False,False,3,0,1,1,True,True,0,0,0,0,133492.96,0
24,70528,17906,1359.12,True,0,False,True,1,2,0,1,False,False,12815.72,0,0,8543.81,14951.67,14951.67
25,197053,36524,12942.63,False,0,True,True,2,3,2,0,True,False,0,0,24597.73,24597.73,56223.38,42167.53
26,164368,35927,1007.51,True,0,False,False,2,0,1,2,True,True,31858.37,0,0,0,95575.12,0
27,191674,49263,46079.07,True,0,True,True,0,0,0,0,True,False,48165.96,0,16055.32,32110.64,0,0
28,123093,27876,22210.15,False,0,False,False,1,0,1,1,False,True,0,0,0,0,73006.85,0
29,192900,20421,27205.58,True,0,False,True,3,1,1,1,False,False,36318.35,0,0,24212.24,72636.71,12106.12
30,199247,1162,65673.56,True,0,True,False,3,0,2,2,True,True,33102.86,0,22068.57,0,77240.01,0
31,50912,12826,5555.8,False,1,False,False,2,0,2,0,True,True,0,4066.28,0,0,28463.92,0
32,75345,17553,5570.91,True,0,False,True,2,1,1,2,False,True,13055.27,0,0,8703.51,24369.84,6092.46
33,173106,6046,33970.32,True,0,True,True,0,1,1,1,True,True,30713.0,0,20475.34,20475.34,0,61426.01
34,181737,5,42797.18,True,0,False,True,2,0,1,1,True,True,34733.71,0,0,23155.8,81045.31,0
35,83622,91,2327.05,False,1,True,True,0,2,2,2,True,False,0,9022.66,12030.21,12030.21,0,48120.86
36,100480,22016,15647.36,False,0,False,True,2,1,2,2,False,False,0,0,0,10469.44,41877.76,10469.44
37,182245,16823,30198.72,True,0,False,True,0,1,1,2,False,True,33805.82,0,0,22537.21,0,67611.64
38,76192,4338,14201.39,False,0,True,False,3,3,2,0,False,False,0,0,9608.77,0,32029.23,16014.61
39,88550,24602,3710.76,False,0,True,True,2,2,2,1,True,False,0,0,10039.54,10039.54,26772.11,13386.05
40,138627,31340,7665.7,True,0,True,True,1,0,2,1,True,False,24905.33,0,16603.55,16603.55,41508.88,0
41,79689,4824,16992.34,False,1,True,True,3,0,0,0,True,True,0,7234.08,9645.44,9645.44,31347.69,0
42,183917,12186,2518.39,False,0,False,False,1,1,2,1,True,False,0,0,0,0,112808.41,56404.2
43,74972,1003,9075.62,False,1,False,False,3,0,1,2,False,True,0,8111.67,0,0,56781.71,0
44,192616,22440,53860.48,True,0,False,True,0,2,0,2,True,True,26842.04,0,0,17894.7,0,71578.78
45,82526,10568,8151.97,True,0,False,True,0,0,0,1,True,False,31903.01,0,0,10634.34,0,0
46,186820,23085,40340.75,True,0,False,False,0,2,1,1,True,True,30848.56,0,0,0,0,82262.83
47,181928,6315,15374.49,True,0,True,True,2,1,2,0,True,True,40059.63,0,26706.42,26706.42,53412.84,13353.21
48,127412,11961,859.64,True,0,False,True,3,2,0,2,False,True,28647.84,0,0,19098.56,50133.72,16711.24
49,166546,21663,3037.4,False,0,False,True,0,2,0,1,False,True,0,0,0,23640.93,0,94563.73
50,106741,16570,17319.86,False,1,True,True,3,0,1,0,True,True,0,9106.39,12141.86,12141.86,39461.03,0
51,74231,3253,10804.51,False,1,False,True,1,2,1,1,True,False,0,7521.69,0,10028.91,21311.44,21311.44
52,141835,4084,41550.18,False,0,True,False,0,1,2,0,True,False,0,0,16033.47,0,0,48100.41
53,88174,9371,13496.81,False,0,False,False,3,0,1,2,True,True,0,0,0,0,65306.19,0
54,115463,17006,18307.7,False,0,True,False,1,0,0,2,False,False,0,0,13358.22,0,66791.08,0
55,177735,10787,8654.0,True,0,True,False,0,2,2,1,False,False,36529.38,0,24352.92,0,0,97411.69
56,149054,18285,3959.23,True,0,False,False,1,0,1,0,False,False,31702.44,0,0,0,95107.33,0
57,183927,53558,4290.58,False,0,True,True,3,1,0,0,True,False,0,0,21013.07,21013.07,72044.81,12007.47
